municipality,state,code,variable,value
Altamirano,Chiapas,Coutput/pdfs/07004,"Rango de precipitación","1 500 – 3 000 mm"
Amatán,Chiapas,Coutput/pdfs/07005,"Rango de temperatura","18 – 26°C"
Amatán,Chiapas,Coutput/pdfs/07005,"Rango de precipitación","2 500 – 4 500 mm"
Amatenango de la Frontera,Chiapas,Coutput/pdfs/07006,"Rango de temperatura","16 – 24°C"
Amatenango de la Frontera,Chiapas,Coutput/pdfs/07006,"Rango de precipitación","1 000 – 2 500 mm"
Amatenango del Valle,Chiapas,Coutput/pdfs/07007,"Rango de temperatura","14 – 24°C"
Amatenango del Valle,Chiapas,Coutput/pdfs/07007,"Rango de precipitación","1 200 – 1 500 mm"
Ángel Albino Corzo,Chiapas,Coutput/pdfs/07008,"Rango de temperatura","14 – 26°C"
Ángel Albino Corzo,Chiapas,Coutput/pdfs/07008,"Rango de precipitación","2 000 – 4 000 mm"
Arriaga,Chiapas,Coutput/pdfs/07009,"Rango de temperatura","16 – 30°C"
Arriaga,Chiapas,Coutput/pdfs/07009,"Rango de precipitación","1 200 – 3 000 mm"
Bejucal de Ocampo,Chiapas,Coutput/pdfs/07010,"Rango de temperatura","16 – 24°C"
Bejucal de Ocampo,Chiapas,Coutput/pdfs/07010,"Rango de precipitación","1 000 – 3 000 mm"
Bella Vista,Chiapas,Coutput/pdfs/07011,"Rango de temperatura","16 – 26°C"
Bella Vista,Chiapas,Coutput/pdfs/07011,"Rango de precipitación","1 200 – 3 000 mm"
Berriozábal,Chiapas,Coutput/pdfs/07012,"Rango de temperatura","22 – 28°C"
Berriozábal,Chiapas,Coutput/pdfs/07012,"Rango de precipitación","900 – 2 000 mm"
Bochil,Chiapas,Coutput/pdfs/07013,"Rango de temperatura","18 – 28°C"
Bochil,Chiapas,Coutput/pdfs/07013,"Rango de precipitación","900 – 2 500 mm"
El Bosque,Chiapas,Coutput/pdfs/07014,"Rango de temperatura","16 – 26°C"
El Bosque,Chiapas,Coutput/pdfs/07014,"Rango de precipitación","1 500 – 3 000 mm"
Cacahoatán,Chiapas,Coutput/pdfs/07015,"Rango de temperatura","10 – 26°C"
Cacahoatán,Chiapas,Coutput/pdfs/07015,"Rango de precipitación","4 000 – 4 500 mm"
Catazajá,Chiapas,Coutput/pdfs/07016,"Rango de temperatura","24 – 26°C"
Catazajá,Chiapas,Coutput/pdfs/07016,"Rango de precipitación","1 500 – 3 000 mm"
Cintalapa,Chiapas,Coutput/pdfs/07017,"Rango de temperatura","18 – 28°C"
